CS,Density,WC,pH,EC,F,G,Pollen_analysis,Viscosity,Purity,Price
5.06,1.3,14.08,4.31,0.84,40.6,26.63,Wildflower,2832.33,1,321.85
2.89,1.49,14.37,5.82,0.75,27.1,38.12,Wildflower,6858.39,0.66,212.98
1.83,1.57,23.56,6.88,0.79,23.72,26.2,Wildflower,8441.04,0.66,212.98
6.19,1.52,14.1,5.19,0.77,25.07,37.67,Wildflower,8697.16,0.97,312.83
4.5,1.79,22.88,7.18,0.88,49.3,30.98,Wildflower,2805.56,0.66,212.98
4.94,1.42,21.75,4.04,0.83,44.08,23.18,Wildflower,8421.06,1,321.85
3.22,1.85,18.19,6.75,0.76,38.07,37.86,Wildflower,1697.45,0.66,210.72
6.6,1.78,21.65,7.47,0.77,40.95,42.16,Wildflower,8731.52,0.95,304.78
6.33,1.7,24.63,6.89,0.76,45.54,29.45,Wildflower,2808.71,0.97,312.83
6.07,1.82,19.92,3.39,0.85,34.2,36.24,Wildflower,3709.84,1,321.85
1.88,1.8,24.16,4.25,0.84,33.5,38.33,Wildflower,8777.91,0.84,270.95
5.57,1.75,20.54,5.07,0.87,21.24,43.68,Wildflower,6653.59,0.95,304.78
5.15,1.33,18.5,4.42,0.79,46.19,44.97,Wildflower,8576.13,1,321.85
8.53,1.71,21.88,6.39,0.74,20.44,44.09,Wildflower,5766.88,0.64,204.93
2.43,1.61,15.19,2.75,0.77,42.55,28.18,Wildflower,7616.73,0.66,212.98
6.78,1.45,20.2,3.05,0.81,30.9,37.38,Wildflower,4987.84,1,321.85
3.28,1.49,14.22,5.01,0.8,25.89,30.22,Wildflower,7807.35,0.66,212.98
9.6,1.74,16.3,6.11,0.79,35.5,33.17,Wildflower,4756.33,0.68,219.42
5.98,1.57,22.77,4.26,0.73,32.03,39.68,Wildflower,6907.62,1,321.85
8.76,1.4,19.15,6.16,0.82,32.57,27.66,Wildflower,5854.84,0.92,296.72
3.52,1.82,19.17,4.77,0.75,34.77,21.13,Wildflower,8062.79,0.82,262.9
1.39,1.59,22.56,3.93,0.72,46,34.03,Wildflower,3637.14,0.82,264.51
1.87,1.8,14.94,3.07,0.85,24.44,26.48,Wildflower,7167.3,0.82,264.51
9.74,1.74,22.35,5.48,0.82,45.08,20.21,Wildflower,4463.89,0.64,204.93
8.7,1.76,20.87,4.8,0.73,30.46,42.58,Wildflower,4014.15,0.82,262.9
4.53,1.47,20.5,5.77,0.75,23.52,20.67,Wildflower,8769.89,0.64,204.93
1.17,1.69,13.18,2.8,0.8,22.67,23.85,Wildflower,5916.64,0.64,204.93
7.76,1.46,21.19,6.14,0.87,20.73,33.76,Wildflower,5037.16,0.66,212.98
1.83,1.67,14.44,2.87,0.83,36.64,44.04,Wildflower,3461.55,0.66,211.37
3.07,1.71,20.9,6.24,0.84,45.41,39.65,Wildflower,2805.97,0.66,212.98
8.28,1.68,16.92,6.8,0.86,20.59,39.23,Wildflower,7511.74,0.87,280.62
6.34,1.69,22.75,2.88,0.8,47.19,37.16,Wildflower,5952.99,0.97,312.83
1.3,1.55,22.85,5.99,0.88,44.43,31.65,Wildflower,5866.7,0.66,212.98
2.12,1.28,23.13,3.1,0.89,43.32,24.11,Wildflower,5330.32,0.8,256.46
7.59,1.42,22.6,6.24,0.86,48.37,39.6,Wildflower,2310.46,0.88,281.58
4.23,1.71,14.86,6.74,0.72,30.31,28.47,Wildflower,6581.99,0.68,219.42
9.1,1.51,16.82,4.64,0.75,40.2,23.49,Wildflower,7744.84,1,321.85
3.31,1.54,19.82,2.88,0.72,23.94,23.62,Wildflower,7003.98,0.64,204.93
8.08,1.79,22.74,6.37,0.72,29.32,32.62,Wildflower,4900.05,0.66,212.98
3,1.4,13.04,5.22,0.77,24.5,39.89,Wildflower,1530.39,0.88,281.58
3.53,1.75,16.02,6.15,0.85,39.86,23.47,Wildflower,1816.69,0.63,202.67
2.56,1.32,14.59,5.73,0.86,32.05,39.25,Wildflower,9889.28,0.66,210.72
2.32,1.48,15.98,3.86,0.78,49.16,35.01,Wildflower,9918.76,0.8,255.81
9.05,1.49,20.37,4.63,0.84,37.91,24.64,Wildflower,4207.4,0.82,262.9
1.9,1.41,16.05,3.85,0.82,23.72,20.21,Wildflower,6803.07,1,321.85
2.89,1.51,22.03,4.87,0.84,31.6,26.63,Wildflower,5783.35,0.84,270.95
9.39,1.64,15.74,2.55,0.72,24.71,28.2,Wildflower,7246.57,0.66,212.98
1.85,1.64,21.03,4.49,0.78,21.42,21.28,Wildflower,7249.21,0.8,256.46
5.73,1.53,14.83,2.55,0.78,20.08,30.68,Wildflower,5964.17,0.97,312.83
4.31,1.56,22.57,3.96,0.82,45.58,25.58,Wildflower,7556.11,0.82,264.51
8.97,1.75,20.25,2.77,0.84,46.99,44.38,Wildflower,7091.36,0.64,204.93
9.4,1.74,16.71,6.47,0.78,28.54,31.02,Wildflower,3662.68,0.66,212.98
6.06,1.66,18.74,5.93,0.75,24.15,41.85,Wildflower,4306.6,0.95,304.78
8.19,1.69,21.13,4.38,0.77,38.94,39.57,Wildflower,4808.13,0.84,270.95
4.33,1.38,18.84,6.89,0.76,31.01,40.23,Wildflower,5405.29,0.9,288.67
5.76,1.46,15.45,2.77,0.86,36.37,38.57,Wildflower,7710.48,0.99,319.27
9.49,1.53,18.54,4.31,0.75,31.55,35.01,Wildflower,4650.43,0.84,270.95
1.72,1.62,14.06,4.88,0.74,20.26,24.12,Wildflower,7743.61,0.8,256.46
2.79,1.3,15.99,5.26,0.75,34.65,38.23,Wildflower,4730.5,0.68,219.42
9.16,1.5,15.68,7.12,0.72,33.58,28.1,Wildflower,8796.97,0.68,219.42
6.94,1.63,24.26,2.83,0.83,24.07,34.84,Wildflower,7914.75,0.97,312.83
9.17,1.61,19.92,5.78,0.88,41.1,34.56,Wildflower,2246.55,0.64,204.28
9.71,1.81,13.79,7.39,0.83,27.06,27.64,Wildflower,3482.32,0.66,212.98
9.07,1.67,24.63,4.41,0.86,22.67,29.56,Wildflower,3963.26,0.82,264.51
9.25,1.47,18.12,3.32,0.71,27.15,27.59,Wildflower,5666.82,0.82,264.51
2.9,1.82,23.37,3.05,0.88,46.16,27.34,Wildflower,9453.22,0.82,264.51
2.14,1.65,12.37,4.93,0.71,45.3,21.34,Wildflower,7784.58,0.8,256.46
3.74,1.39,23.05,3.26,0.79,27.63,28.99,Wildflower,8091.44,1,321.85
7.67,1.47,18.69,3.15,0.78,34.45,44.86,Wildflower,4108.78,0.82,262.9
2.96,1.3,19.96,5.96,0.86,36.23,31.02,Wildflower,3273.67,0.68,219.42
2.54,1.51,17.12,7.39,0.77,37.1,21.49,Wildflower,2709.35,0.87,279.01
5.2,1.35,13.13,6.12,0.72,47.2,25.41,Wildflower,3794.37,0.97,312.83
5.57,1.22,23.21,3.5,0.77,49.23,24.98,Wildflower,6170.1,1,321.85
9.93,1.53,21.17,3.3,0.88,42.19,37.17,Wildflower,2154.38,0.8,255.81
5.2,1.61,13.58,3.93,0.72,31.8,25.22,Wildflower,3263.79,1,321.85
3.57,1.23,23.42,4.21,0.87,36.92,34.3,Wildflower,7928.22,0.84,270.95
2.65,1.21,16.43,7.21,0.88,32.1,43.35,Wildflower,7349.87,0.66,211.37
6.08,1.74,16.2,3.5,0.78,39.01,43.07,Wildflower,5482.62,1,321.85
9.83,1.59,14.38,5.33,0.86,31.93,43.95,Wildflower,1519.11,0.63,202.67
2.61,1.71,24.57,5.11,0.85,42.29,24.42,Wildflower,5421.66,0.64,204.93
5.24,1.6,22.04,5.41,0.88,23.48,43.7,Wildflower,5082.91,0.95,304.78
1.29,1.5,13.41,5.53,0.74,20.46,29.75,Wildflower,5619.48,0.66,212.98
1.47,1.72,17.25,4.6,0.83,46.61,24.13,Wildflower,2186.15,0.98,315.41
9.5,1.49,23.31,2.57,0.72,48.71,37.14,Wildflower,7719.82,0.66,212.98
7.46,1.44,19.35,6.07,0.87,33.18,30.44,Wildflower,7983.43,0.92,296.72
2.76,1.57,22.81,5.05,0.71,40.26,23.5,Wildflower,3541.82,0.64,204.93
9.19,1.85,15.85,2.61,0.81,48.89,32.2,Wildflower,2979.14,0.66,212.98
7.29,1.5,13.59,2.66,0.77,22.9,20.54,Wildflower,5543.53,0.64,204.93
4.4,1.22,20.92,4.32,0.83,31.75,40.7,Wildflower,6094.21,0.82,262.9
9.07,1.73,21.49,6.77,0.72,31.81,38.75,Wildflower,5804.53,0.68,219.42
9.85,1.83,18.15,4.3,0.81,32.02,20.98,Wildflower,3481.82,0.82,262.9
7.79,1.44,14.68,3.03,0.82,35.77,38.26,Wildflower,8594.25,1,321.85
1.89,1.33,12.52,2.57,0.86,46.87,34.61,Wildflower,9965.14,0.64,204.28
7.74,1.22,21.83,7.12,0.75,31.28,21.35,Wildflower,2817.9,0.66,211.37
3.91,1.54,21.53,2.56,0.89,27.16,21.77,Wildflower,2444.78,0.61,196.23
2.21,1.62,23.97,4.26,0.89,39.73,33.76,Wildflower,6671.11,0.84,270.95
8.89,1.5,23.29,3.2,0.8,32.83,43.86,Wildflower,9335.94,0.82,262.9
7.52,1.29,24.86,3.51,0.85,25.18,26.36,Wildflower,7726.09,0.82,264.51
1.39,1.25,19.52,4.6,0.85,36.21,31.66,Wildflower,2010.94,0.82,262.26
7.77,1.41,19.54,3.15,0.87,47.68,38.89,Wildflower,3159.38,1,321.85
8.59,1.26,18.25,3.53,0.88,46.73,22.14,Wildflower,8066.49,0.8,256.46
9.3,1.22,20.01,7.09,0.71,30.49,26.68,Wildflower,3487.08,0.68,219.42
9.69,1.22,14.67,5.42,0.81,33.99,34.07,Wildflower,6151.64,0.68,219.42
4.82,1.54,20.68,6.15,0.78,24.6,28.81,Wildflower,4580.19,0.97,312.83
6.76,1.46,20.57,5.08,0.74,30.75,21.54,Wildflower,6275.54,0.97,311.22
9.93,1.33,18.96,6.95,0.72,32.41,21.02,Wildflower,7668.16,0.66,211.37
3.54,1.72,20.95,6.02,0.71,48.42,29.52,Wildflower,5934,0.66,212.98
2.59,1.25,13.13,6.38,0.79,33.73,24.09,Wildflower,5122.97,0.66,211.37
4.21,1.78,19.49,7.47,0.87,24.43,44.64,Wildflower,1967.15,0.61,196.23
7.71,1.72,17.82,3.82,0.86,45.39,40.7,Wildflower,8140.93,1,321.85
8.53,1.44,18.7,3.77,0.78,48.2,32.9,Wildflower,5992.83,1,321.85
7.32,1.45,17.97,5.58,0.8,21.27,20.03,Wildflower,7615.12,1,321.85
1.25,1.46,13.37,6.17,0.9,23.68,41.43,Wildflower,2420.12,0.61,196.23
8.97,1.45,20.71,5.13,0.8,22.1,35.29,Wildflower,1672.59,0.88,281.58
7.27,1.36,13.96,6.47,0.89,42.69,32.5,Wildflower,6142.68,0.66,212.98
7.89,1.31,16.37,5.4,0.75,46.19,31.18,Wildflower,3812.94,0.66,212.98
3.73,1.81,22.42,5.48,0.86,33.49,43.65,Wildflower,2009.28,0.63,202.67
9.98,1.48,19.84,7.18,0.72,49.79,39.81,Wildflower,9254.83,0.66,212.98
4.1,1.79,16.56,6.02,0.76,33.88,27.28,Wildflower,6515.42,0.68,219.42
7.55,1.76,15.46,7.39,0.8,32.53,41.85,Wildflower,4112.06,0.66,211.37
7.63,1.74,22.61,2.65,0.89,26.12,34.64,Wildflower,2470.08,0.64,204.28
5.58,1.27,15.12,4.26,0.83,44.42,42.9,Wildflower,2786.9,1,321.85
7.82,1.73,24.02,4.26,0.72,34.58,31.33,Wildflower,6638.37,0.84,270.95
8.04,1.67,16.58,7.25,0.81,20.44,33.25,Wildflower,2579.05,0.66,212.98
6.64,1.22,20.5,6.46,0.73,41.56,32.36,Wildflower,2836.59,0.97,312.83
9.75,1.4,15.99,6.18,0.82,45.28,33.17,Wildflower,9992.16,0.88,281.58
3.74,1.73,17.77,3.36,0.81,45.63,29.74,Wildflower,5993.71,1,321.85
9.22,1.46,23.51,2.94,0.9,23.58,36.13,Wildflower,2963.13,0.66,212.98
3.12,1.3,15.69,6.55,0.73,30.66,24.02,Wildflower,8999.71,0.66,211.37
6.49,1.37,24.01,7.08,0.89,22.93,32.42,Wildflower,7914.28,1,321.85
2.08,1.47,13.87,7.12,0.73,45.43,22.9,Wildflower,5227.71,0.64,204.93
7.16,1.78,14.73,6.04,0.78,25.27,26.23,Wildflower,9781.21,0.94,304.13
1.86,1.23,13.19,5.2,0.86,32.4,31.77,Wildflower,1500.76,0.66,210.72
5.75,1.7,21.58,5.21,0.84,25.95,37.89,Wildflower,6675.27,0.97,312.83
2.34,1.32,12.66,6.62,0.82,41.51,34.38,Wildflower,6583.23,0.66,212.98
9.7,1.56,19.13,6.62,0.8,39.43,42.13,Wildflower,6071.59,0.66,211.37
9.31,1.26,14.71,7.01,0.84,23.1,31.41,Wildflower,1590.45,0.64,204.28
8.41,1.47,22.73,7.4,0.74,22.29,26.14,Wildflower,7233.45,0.66,212.98
3.08,1.59,21,3.18,0.89,21.09,23.79,Wildflower,4046.66,0.8,256.46
9.78,1.38,23.2,2.64,0.85,42.01,44.53,Wildflower,4687.35,0.88,282.23
4.06,1.22,17.03,2.89,0.89,22.86,23.53,Wildflower,5089.91,0.85,272.56
4.29,1.77,22.38,4.22,0.72,39.19,44.01,Wildflower,4956.76,0.82,262.9
4.12,1.48,18.22,6.89,0.76,36.08,22.19,Wildflower,3242.03,0.66,211.37
6.85,1.29,21.69,5.84,0.85,37.43,22.46,Wildflower,8886.82,0.97,311.22
3.12,1.59,19.73,2.8,0.81,21.22,36.77,Wildflower,4587.26,0.66,212.98
1.17,1.36,20.21,5.62,0.79,46.35,42.18,Wildflower,8714.62,0.88,282.23
2.3,1.22,24.22,5.86,0.79,31.39,32.52,Wildflower,1503.22,0.66,210.72
2.35,1.64,17.75,4.4,0.73,44.77,37.51,Wildflower,6439.59,1,321.85
8.27,1.66,22.64,5.19,0.79,30.59,27.52,Wildflower,1770.96,0.66,210.72
8.84,1.41,18.52,6.46,0.81,31.13,41.33,Wildflower,3823.96,0.9,288.67
5.43,1.36,16.95,3.59,0.8,44.28,22.93,Wildflower,4184.96,1,321.85
6.63,1.62,19.04,4.29,0.85,30.51,32.94,Wildflower,8459.22,1,321.85
3.27,1.37,22.04,3.25,0.84,23.68,22.32,Wildflower,4561.3,1,321.85
8.54,1.78,15.81,5.87,0.78,48.05,28.71,Wildflower,1844.61,0.64,204.28
3.87,1.29,23.49,6.6,0.75,25.26,34.9,Wildflower,7081.93,0.66,212.98
3.4,1.84,22.91,3.41,0.77,43.44,39.14,Wildflower,3997.17,0.82,264.51
6.39,1.75,16.27,5.55,0.85,40.39,31.56,Wildflower,7822.99,0.97,312.83
8.8,1.54,23.49,5.9,0.78,48.69,26.51,Wildflower,7623.36,0.66,212.98
2.12,1.46,18.03,7.2,0.72,21.77,34.94,Wildflower,5194.77,0.87,280.62
6.03,1.86,18.13,3.67,0.74,29.19,29.92,Wildflower,9808.51,1,321.85
5.78,1.78,14.55,7.23,0.71,23.53,24.13,Wildflower,9644.91,0.92,296.08
9.36,1.76,22.42,6.57,0.76,24.51,43.41,Wildflower,7482.68,0.64,204.93
2.95,1.82,14.48,2.58,0.79,31.58,23.38,Wildflower,5613.9,0.66,211.37
9.87,1.72,23.66,7.41,0.7,26.1,41.86,Wildflower,9144.65,0.64,204.93
8.57,1.73,13.48,3.89,0.82,21.73,26.29,Wildflower,7160.56,0.82,264.51
1.46,1.56,17.36,4.72,0.8,22.65,44.48,Wildflower,2689.18,1,321.85
2.39,1.67,19.65,7.03,0.86,46.71,40.87,Wildflower,4884.01,0.64,204.93
5.5,1.56,24.39,4.53,0.72,28.21,29.25,Wildflower,9870.36,1,321.85
6.45,1.44,12.44,2.8,0.85,26.53,38.83,Wildflower,1502.17,1,321.85
4.61,1.21,20.52,7.35,0.73,43.46,40.99,Wildflower,7565.74,0.64,204.93
7.79,1.52,23.85,4.79,0.85,21.52,40.36,Wildflower,3499.7,0.8,256.46
1.94,1.76,12.62,2.57,0.73,42.71,43.24,Wildflower,6177.84,0.64,204.93
2.46,1.77,20.69,2.88,0.8,37.57,38.06,Wildflower,8232.09,0.68,219.42
7.34,1.44,18.4,4,0.89,45.44,42.17,Wildflower,6671.26,1,321.85
4.15,1.4,24.53,4.18,0.76,46.99,37.31,Wildflower,6182.18,1,321.85
2.97,1.8,19.17,6.06,0.86,22.77,35.2,Wildflower,1852.54,0.64,204.28
9.37,1.4,15.57,6.48,0.71,27.45,29.66,Wildflower,2610.71,0.9,290.28
8.88,1.68,24.02,5.15,0.84,23.06,37.74,Wildflower,9998.17,0.64,204.28
3.3,1.23,18.46,4.79,0.73,46.36,28.35,Wildflower,5051.96,0.82,264.51
7.6,1.56,21.31,3.15,0.74,44.83,22.02,Wildflower,8829.1,0.8,256.46
7.54,1.7,23,6.62,0.87,23.81,21.89,Wildflower,6205.87,0.64,204.93
2.23,1.83,21.06,4.59,0.79,40.99,29.99,Wildflower,7497.24,0.82,264.51
3.28,1.45,17.41,5.9,0.79,40.59,32.06,Wildflower,4838.96,1,321.85
9.26,1.23,17.06,6,0.82,21.32,41.21,Wildflower,4371.11,0.85,272.56
8.14,1.67,14.84,4.17,0.71,38.68,39.69,Wildflower,2059.39,0.82,262.26
1.67,1.54,22.6,5.17,0.88,35.17,38.62,Wildflower,6356.28,0.68,219.42
5.39,1.35,20.35,6.63,0.81,26.99,39.13,Wildflower,1705.32,0.94,304.13
2.9,1.74,16.94,4.67,0.77,40.59,40.54,Wildflower,8398.38,1,321.85
9.69,1.57,24.65,3.41,0.84,23.03,44.88,Wildflower,4514.77,0.8,256.46
4.89,1.7,20.6,5.67,0.8,38.86,45,Wildflower,5175.63,0.97,311.22
9.52,1.24,22.75,4.65,0.84,47.01,31.38,Wildflower,4694.84,0.82,264.51
7.68,1.81,22.4,4.65,0.7,37.85,37.77,Wildflower,4692.92,0.84,270.95
5.75,1.51,18.08,6.7,0.87,40.57,34.83,Wildflower,9149.17,1,321.85
5.62,1.3,24.06,5.3,0.7,30.1,43.89,Wildflower,9144.53,0.97,311.22
2.39,1.21,22.92,6.14,0.86,25.61,28.53,Wildflower,8750.92,0.66,212.98
8.47,1.64,12.21,3.18,0.8,36.45,41.69,Wildflower,8934.23,0.82,262.9
6.16,1.41,20.84,2.99,0.88,46.66,23.5,Wildflower,4706.66,1,321.85
7.36,1.21,16.89,5.85,0.76,41.17,44.53,Wildflower,3881.29,0.85,272.56
7.44,1.76,20.42,6.22,0.82,23.51,26.3,Wildflower,6869.77,0.66,212.98
3.62,1.55,22.06,3.73,0.86,24.72,30.67,Wildflower,2981.19,0.82,264.51
3.06,1.63,18.22,5.92,0.75,40.11,21.62,Wildflower,4952.79,0.64,204.93
8.78,1.48,14.64,5.5,0.75,29.63,40.83,Wildflower,5270.91,0.64,204.93
1.4,1.31,13.67,3.4,0.86,43.4,42.67,Wildflower,4048.44,0.8,256.46
3.85,1.76,19.87,5.83,0.85,37.67,26.95,Wildflower,4104.36,0.68,219.42
6.97,1.57,17.72,4,0.85,38.12,24.79,Wildflower,1617.08,1,321.85
9.45,1.29,17.6,2.85,0.7,44.13,21.38,Wildflower,8185.48,0.85,272.56
7.38,1.29,14.24,5.57,0.78,28.95,35.98,Wildflower,3224.26,0.66,212.98
3.5,1.49,17.06,2.75,0.85,45.02,23.87,Wildflower,5043.92,0.85,272.56
6.13,1.27,20.49,5.73,0.78,29.42,27.12,Wildflower,2394.69,0.94,304.13
6.17,1.27,14.6,6.42,0.72,46.21,35.4,Wildflower,9773.16,0.94,304.13
6.45,1.25,20.31,5.18,0.71,40.42,38.99,Wildflower,9043.28,0.97,312.83
7.36,1.57,21.8,4.94,0.74,46.54,29.12,Wildflower,4975.13,0.82,264.51
5.35,1.31,20.09,2.55,0.88,31.71,33.19,Wildflower,5850.25,0.99,319.27
4.07,1.48,17.2,6.71,0.77,46.37,21.39,Wildflower,3569.42,0.85,272.56
1.13,1.62,18.99,4.53,0.82,33.12,22.07,Wildflower,5605.57,0.82,262.9
8.99,1.45,16.12,2.74,0.84,49.78,27.64,Wildflower,2016.88,0.64,204.28
2.53,1.23,19.46,4.56,0.72,31.93,40.11,Wildflower,3913.14,0.82,262.9
7.59,1.42,14.98,2.94,0.85,22.07,37.22,Wildflower,4977.96,0.9,290.28
4.63,1.32,23.66,2.66,0.89,44.17,23.61,Wildflower,9372.84,0.64,204.93
1.2,1.82,19.86,6.7,0.72,45.08,22.96,Wildflower,8940.68,0.64,204.93
5.79,1.33,13.94,3.65,0.82,27.66,44.03,Wildflower,2856.78,1,321.85
7.87,1.29,17.68,7.09,0.9,33.54,37.55,Wildflower,5099.45,0.89,287.06
5.39,1.81,18.92,6.96,0.75,29.74,33.15,Wildflower,3971.6,0.97,312.83
2.16,1.33,19.54,5.08,0.77,36.72,21.37,Wildflower,2187.39,0.63,202.67
3.13,1.55,22.76,5.45,0.73,39.02,25.08,Wildflower,9216.8,0.68,219.42
2.06,1.55,18.98,7.48,0.76,22.43,39.33,Wildflower,6826.34,0.66,212.98
9.41,1.67,20.24,3.81,0.76,24.99,31.66,Wildflower,3622.09,0.82,264.51
9.21,1.35,22.2,3.47,0.77,33.75,42.73,Wildflower,6153.84,0.82,262.9
4.65,1.24,20.09,5.48,0.81,22.27,22.62,Wildflower,5008.74,0.64,204.93
7.89,1.63,13.4,6.99,0.72,27.24,20.42,Wildflower,4606.8,0.64,204.93
5.06,1.25,20.31,3.88,0.81,43.26,37.26,Wildflower,8937.13,1,321.85
7.05,1.49,21.68,5.23,0.79,47.34,33.48,Wildflower,5094.89,0.97,312.83
6.49,1.56,14.02,5.17,0.78,23.63,42.84,Wildflower,6014.73,0.95,304.78
6.73,1.52,22.72,5.96,0.77,40.16,42.41,Wildflower,5779.42,0.95,304.78
8.22,1.72,16.49,3.15,0.9,24.64,26.41,Wildflower,2900.53,0.82,264.51
3.31,1.26,13.68,6.55,0.85,45.35,28.74,Wildflower,7789.31,0.66,212.98
2.29,1.47,23.47,3.56,0.87,27.38,44.62,Wildflower,4287.99,0.8,256.46
6.94,1.72,24.21,7.36,0.78,34.1,43.39,Wildflower,3631.87,0.97,311.22
6.78,1.66,14.94,5.81,0.73,36.61,31.56,Wildflower,2572.78,0.99,319.27
2.21,1.4,17.75,7.01,0.78,42.94,32.71,Wildflower,6782.85,1,321.85
1.68,1.84,15.73,3.61,0.81,42.84,31.44,Wildflower,9537.39,0.8,255.81
3.59,1.54,17.33,2.68,0.79,24.94,36.27,Wildflower,7562.78,0.87,280.62
1.9,1.59,21.94,3.59,0.86,20.13,21.03,Wildflower,5383.22,0.8,256.46
6.33,1.85,14.31,5.62,0.8,22.68,41.64,Wildflower,6589.77,0.95,304.78
9.41,1.82,12.94,6.28,0.72,36.62,41.44,Wildflower,1806.08,0.63,202.67
4.85,1.33,24.39,5.26,0.72,39.62,20.07,Wildflower,8872.71,0.97,311.22
3.98,1.31,13.3,4.99,0.78,30.21,29.13,Wildflower,7421.9,0.84,270.95
5.07,1.25,19.64,7.25,0.89,45.75,24.3,Wildflower,3377.18,0.95,304.78
1.2,1.85,15.64,3.51,0.81,49.43,32.05,Wildflower,3941.55,0.82,264.51
7.92,1.65,13.19,4.65,0.82,28.62,42.52,Wildflower,3692.64,0.8,256.46
5.88,1.42,23.02,7.06,0.84,35.23,36.08,Wildflower,4704.74,1,321.85
3.34,1.4,21.94,5.12,0.89,43.67,20.95,Wildflower,6654,0.88,282.23
7.24,1.22,16.77,5.53,0.81,23.31,30.19,Wildflower,7488.61,0.66,212.98
2.02,1.39,16.49,6.73,0.79,48.52,28.27,Wildflower,4037.63,0.9,290.28
7.74,1.42,20.01,5.69,0.71,24.19,32.59,Wildflower,3245.51,0.9,290.28
7.99,1.76,12.81,7.37,0.74,30.87,29.79,Wildflower,2994.57,0.68,219.42
6.02,1.52,24.58,6.8,0.9,28.45,34.42,Wildflower,7610.56,0.97,312.83
8.34,1.62,21.75,6.7,0.84,31.68,29.31,Wildflower,3856.84,0.68,219.42
9.52,1.74,17.77,5.34,0.87,28.12,39.39,Wildflower,6045.99,0.87,280.62
7.41,1.85,13.24,4.62,0.86,44.82,26.48,Wildflower,2129.02,0.8,255.81
1.97,1.39,12.28,3.93,0.7,30.37,35.73,Wildflower,1795.74,1,321.85
2.82,1.24,14.41,6.95,0.89,49.46,39.65,Wildflower,5546.51,0.66,212.98
2.2,1.47,20.04,7.08,0.85,48.28,39.15,Wildflower,3082.62,0.66,212.98
6.73,1.56,17.16,5.89,0.85,40.35,38,Wildflower,7368.96,1,321.85
7.13,1.25,17.86,5.54,0.79,25.12,38.86,Wildflower,4345.77,1,321.85
5.45,1.26,16.34,6.54,0.83,22.28,20.33,Wildflower,7594,0.95,304.78
9.76,1.42,23.04,5.94,0.7,28.64,36.96,Wildflower,4535.87,0.9,290.28
6.25,1.54,14.75,6.55,0.77,46.84,24.86,Wildflower,6974.95,0.95,304.78
6.5,1.46,17.79,2.96,0.85,36.09,30.61,Wildflower,6552.08,1,321.85
2.95,1.65,21.15,5.33,0.82,25.67,33.95,Wildflower,7916.32,0.66,212.98
6.96,1.46,24.2,7.34,0.81,21.03,30.64,Wildflower,6617.33,0.97,312.83
9.9,1.28,21.21,2.51,0.73,39.78,36.08,Wildflower,2942.71,0.68,219.42
5.86,1.33,20.49,4.76,0.75,25.09,43,Wildflower,4763,1,321.85
4.7,1.49,22.16,5.74,0.85,29.84,25.42,Wildflower,7174.68,0.66,212.98
9.86,1.56,17.53,3.3,0.88,22.99,41.55,Wildflower,6288.11,1,321.85
9.93,1.57,23.19,5.66,0.86,32.03,20.08,Wildflower,7717.16,0.66,211.37
6.94,1.24,16.77,5.17,0.81,24.13,27.31,Wildflower,4049.84,0.97,312.83
9.99,1.32,15.81,6.57,0.9,30.02,44.16,Wildflower,3174.87,0.66,211.37
7.16,1.59,18.99,6.44,0.79,41.31,38.91,Wildflower,9039.66,0.97,312.83
6.84,1.8,23.47,4.46,0.72,25.66,44.47,Wildflower,3668.05,1,321.85
5.21,1.49,16.65,4.93,0.74,38.64,36.02,Wildflower,1867.85,1,321.85
7.73,1.37,14.76,2.84,0.83,30.86,40.14,Wildflower,4083.84,0.9,288.67
8.91,1.67,20.72,2.64,0.8,20.49,23.84,Wildflower,2100.48,0.61,196.23
3.76,1.8,13.93,6.71,0.75,44.69,31.39,Wildflower,9360.89,0.66,212.98
3.7,1.24,15.28,2.67,0.86,31.4,23.57,Wildflower,6141.94,0.66,211.37
5.47,1.84,12.49,2.64,0.9,38.63,36.87,Wildflower,6527.68,0.99,319.27
8.71,1.73,21.25,7.13,0.89,24.82,29.5,Wildflower,4247.36,0.66,212.98
8.52,1.31,23.54,2.86,0.74,35.49,21.73,Wildflower,4257.24,0.66,211.37
4.95,1.74,14.73,5.04,0.73,25.26,21.94,Wildflower,2695.7,0.95,304.78
3.51,1.32,19.9,5.14,0.75,22.73,43.82,Wildflower,6847.85,0.64,204.93
6.43,1.54,17.89,6.04,0.76,37.25,25.51,Wildflower,9358.62,1,321.85
9.21,1.81,19.09,2.68,0.89,43.43,27.77,Wildflower,2203.46,0.64,204.28
8.28,1.54,19.26,6.22,0.86,47.93,30.06,Wildflower,9749.7,0.64,204.28
5.84,1.5,15.73,3.17,0.8,48.8,25.13,Wildflower,8763.72,1,321.85
5.32,1.84,21,3.51,0.8,40.96,41.45,Wildflower,3765.33,1,321.85
2.93,1.66,24.16,7.42,0.83,25.66,38.05,Wildflower,8625.03,0.66,212.98
6.2,1.75,13.78,4.44,0.83,28.76,24.9,Wildflower,2904.42,1,321.85
5.77,1.35,13.86,3.18,0.81,32.53,23.85,Wildflower,5144.81,1,321.85
9.56,1.43,15.64,5.63,0.72,40.97,23.14,Wildflower,4930.04,0.88,282.23
